--- Optimization Complete ---

Start                     2015-11-16 00:00:00
End                       2025-11-14 00:00:00
Duration                   3651 days 00:00:00
Exposure Time [%]                    80.67594
Equity Final [$]                 398685.93889
Equity Peak [$]                  412202.44409
Commissions [$]                    6521.14328
Return [%]                          298.68594
Buy & Hold Return [%]               226.52065
Return (Ann.) [%]                    14.86362
Volatility (Ann.) [%]                13.75053
CAGR [%]                             10.01626
Sharpe Ratio                          1.08095
Sortino Ratio                         1.77806
Calmar Ratio                          1.16063
Alpha [%]                           201.44685
Beta                                  0.42927
Max. Drawdown [%]                   -12.80653
Avg. Drawdown [%]                    -1.48888
Max. Drawdown Duration      331 days 00:00:00
Avg. Drawdown Duration       19 days 00:00:00
# Trades                                   17
Win Rate [%]                         58.82353
Best Trade [%]                       67.81106
Worst Trade [%]                      -4.07454
Avg. Trade [%]                        8.48664
Max. Trade Duration         788 days 00:00:00
Avg. Trade Duration         172 days 00:00:00
Profit Factor                         9.62367
Expectancy [%]                         9.9785
SQN                                   1.84831
Kelly Criterion                       0.51593
_strategy                 HeikinAshiWeight...
_equity_curve                             ...
_trades                       Size  EntryB...
dtype: object

--- Best Parameters ---
  atr_period: 14
  weight_bull_1: 0.00 | weight_bull_2: 0.00
  weight_bull_3: 0.00 | weight_bull_4: 0.00
  weight_bull_doji: 0.00
  weight_bull_bonus: 0.00 | weight_bear_bonus: 0.00
  weight_bull_penalty: 0.00 | weight_bear_penalty: 0.00
  weight_bear_1: 0.00 | weight_bear_2: 0.00
  weight_bear_3: 0.00 | weight_bear_4: 0.00
  weight_bear_doji: 0.00
  stop_atr_mult: 0.01
No SAMBO optimization results available.
Plot saved as: HeikinAshi_weighted_2025-12-03.html  ||  Heatmap saved as: HeikinAshi_weighted_heatmap_2025-12-03.html

--- Top 150 parameter sets (by Return [%]): (.csv) ---
atr_period,weight_bull_1,weight_bull_2,weight_bull_3,weight_bull_4,weight_bull_doji,weight_bear_1,weight_bear_2,weight_bear_3,weight_bear_4,weight_bear_doji,weight_bull_bonus,weight_bear_bonus,weight_bull_penalty,weight_bear_penalty,stop_atr_mult,Return [%]
14,29,25,30,40,35,15,20,15,15,35,6,5,1,0,150,294.00
14,28,25,31,40,36,15,20,16,15,34,8,5,1,0,150,294.00
14,28,25,33,40,35,15,20,16,15,34,8,5,1,0,150,294.00
14,28,25,33,40,36,15,20,16,15,34,6,5,1,0,150,294.00
14,29,25,31,40,35,15,20,16,15,34,8,5,0,1,150,294.00
14,27,25,33,40,36,15,20,15,15,35,8,5,0,0,150,294.00
14,28,25,33,40,35,15,20,16,15,34,7,5,1,0,150,294.00
14,30,25,30,40,35,15,20,15,15,35,6,5,1,0,150,294.00
14,29,25,30,40,35,15,20,15,15,35,7,5,0,0,150,294.00
14,29,25,31,40,35,15,20,15,15,35,6,5,0,0,150,294.00
14,29,25,31,40,35,15,20,15,15,35,5,5,2,0,150,294.00
14,29,25,31,40,35,15,20,16,15,34,8,5,0,0,150,294.00
14,29,25,31,40,35,15,20,16,15,35,7,5,1,2,150,294.00
14,29,25,30,40,35,15,20,15,15,35,6,5,0,0,150,294.00
14,29,25,31,40,35,15,20,15,15,35,5,5,0,0,150,294.00
14,29,25,30,40,35,15,20,15,15,35,10,5,0,0,150,294.00
14,29,22,30,40,38,15,20,16,15,34,8,5,1,4,150,291.09
14,29,20,32,41,37,15,20,16,15,34,10,6,2,4,150,291.09
14,35,25,30,40,35,15,20,16,15,34,10,5,0,0,150,285.71
14,34,25,32,40,35,15,20,16,15,34,6,5,1,0,150,285.71
14,35,25,30,40,35,15,20,16,15,34,6,5,1,0,150,285.71
14,35,25,31,40,35,15,20,16,15,34,7,5,1,0,150,285.71
14,35,25,30,40,35,15,20,15,15,35,7,5,0,0,150,285.71
14,32,25,31,40,35,15,20,16,15,34,9,5,0,0,150,285.71
14,32,25,33,40,35,15,20,16,15,34,5,5,1,0,150,285.71
14,31,25,32,40,35,15,20,16,15,34,8,5,1,0,150,285.71
14,34,25,30,40,35,15,20,15,15,35,5,5,0,2,150,285.71
14,34,25,30,40,35,15,20,15,15,35,6,5,1,0,150,285.71
14,34,25,30,40,35,15,20,15,15,35,6,5,0,0,150,285.71
14,34,25,31,40,35,15,20,16,15,34,8,5,1,0,150,285.71
14,34,25,30,40,35,15,20,15,15,35,5,5,0,0,150,285.71
14,34,25,31,40,35,15,20,16,15,34,6,5,1,0,150,285.71
14,31,25,32,40,35,15,20,16,15,34,8,5,0,0,150,285.71
14,34,25,30,40,35,15,20,15,15,35,8,5,0,0,150,285.71
14,34,25,30,40,35,15,20,15,15,35,7,5,0,0,150,285.71
14,34,25,30,40,35,15,20,16,15,34,10,5,1,0,150,285.71
14,34,25,31,40,35,15,20,15,15,35,5,5,0,0,150,285.71
14,32,25,31,40,35,15,20,16,15,34,7,5,0,0,150,285.71
14,33,25,30,40,35,15,20,15,15,35,8,5,0,0,150,285.71
14,33,25,31,40,35,15,20,16,15,34,6,5,1,0,150,285.71
14,33,25,32,40,35,15,20,15,15,35,5,5,1,0,150,285.71
14,33,25,32,40,35,15,20,16,15,34,8,5,1,0,150,285.71
14,31,25,33,40,36,15,20,16,15,34,8,5,1,0,150,285.71
14,31,25,33,40,35,15,20,16,15,34,8,5,1,0,150,285.71
14,31,25,33,40,35,15,20,16,15,34,7,5,1,0,150,285.71
14,33,25,33,40,35,15,20,16,15,34,8,5,1,0,150,285.71
14,33,25,33,40,36,15,20,16,15,34,5,5,1,0,150,285.71
14,33,25,30,40,36,15,20,15,15,35,7,5,0,0,150,285.71
14,33,25,30,40,35,15,20,16,15,35,9,5,0,1,150,285.71
14,30,25,33,40,36,15,20,16,15,34,8,5,1,0,150,285.71
14,32,25,31,40,35,15,20,16,15,35,7,5,1,1,150,285.71
14,33,25,31,40,35,15,20,16,15,34,8,5,1,0,150,285.71
14,33,25,32,40,35,15,20,15,15,35,5,5,0,0,150,285.71
14,30,25,33,40,35,15,20,16,15,34,6,5,1,0,150,285.71
14,30,25,33,40,35,15,20,16,15,34,8,5,1,0,150,285.71
14,33,25,30,40,35,15,20,15,15,35,10,5,0,0,150,285.71
14,33,25,30,40,35,15,20,16,15,34,11,5,0,0,150,285.71
14,32,25,31,40,35,15,20,15,15,35,6,5,0,0,150,285.71
14,29,25,33,40,35,15,20,16,15,34,8,5,1,0,150,285.71
14,29,25,33,40,35,15,20,16,15,34,7,5,1,0,150,285.71
14,32,25,31,40,35,15,20,15,15,35,5,5,0,1,150,285.71
14,35,25,30,40,35,15,20,15,15,35,6,5,0,0,150,285.71
14,35,25,30,40,35,15,20,15,15,35,5,5,0,0,150,285.71
14,32,25,32,40,36,15,20,16,15,34,8,5,0,0,150,285.71
14,32,25,32,40,35,15,20,15,15,35,5,5,2,0,150,285.71
14,32,25,31,40,35,15,20,16,15,34,8,5,1,0,150,285.71
14,32,25,33,40,35,15,20,16,15,34,7,5,1,0,150,285.71
14,32,25,31,40,35,15,20,16,15,34,10,5,1,0,150,285.71
14,32,25,33,40,36,15,20,16,15,34,8,5,1,0,150,285.71
14,27,25,30,40,35,15,20,15,15,35,7,5,1,4,150,285.62
14,28,24,30,40,35,15,20,15,15,35,5,5,0,0,150,285.62
14,28,25,30,40,35,15,20,15,15,35,6,5,1,0,150,285.62
14,27,25,30,40,35,15,20,15,15,35,5,5,0,0,150,285.62
14,25,25,31,40,35,15,20,15,15,35,5,5,2,1,150,285.62
14,27,25,31,40,36,15,20,16,15,34,8,5,1,0,150,285.62
14,25,25,31,40,35,15,20,15,15,35,8,5,0,2,150,285.62
14,27,25,30,40,35,15,20,15,15,35,9,5,0,0,150,285.62
14,30,23,33,43,38,18,19,16,17,32,11,7,4,3,150,283.91
14,32,22,34,43,36,17,19,16,18,34,8,7,5,1,150,283.91
14,29,25,33,40,35,18,20,16,16,34,7,6,2,4,150,283.91
14,32,24,31,44,37,17,19,16,18,34,8,9,3,1,150,283.91
14,28,25,31,40,35,15,20,16,15,34,10,5,1,0,150,282.47
14,26,25,33,40,35,15,20,16,15,34,8,5,1,0,150,282.47
14,27,25,32,40,35,15,20,15,15,35,7,5,0,0,150,282.47
14,27,25,33,40,36,15,20,16,15,34,8,5,1,0,150,282.47
14,27,25,33,40,35,15,20,16,15,34,8,5,1,0,150,282.47
14,27,25,33,40,36,15,20,16,15,34,7,5,1,0,150,282.47
14,27,25,32,40,36,15,20,16,15,34,8,5,1,0,150,282.47
14,28,25,31,40,35,15,20,15,15,35,5,5,1,0,150,282.47
14,28,25,32,40,35,15,20,15,15,35,5,5,1,0,150,282.47
14,27,25,32,40,35,15,20,15,15,35,5,5,0,0,150,282.47
14,28,25,30,40,35,15,20,15,15,35,6,5,0,0,150,282.47
14,28,25,30,40,35,15,20,15,15,35,8,5,0,0,150,282.47
14,28,25,32,40,35,15,20,15,15,35,6,5,1,0,150,282.47
14,28,25,30,40,35,15,20,15,15,35,5,5,0,0,150,282.47
14,28,25,31,40,35,15,20,15,15,35,5,5,0,0,150,282.47
14,31,20,31,46,40,18,20,18,20,31,15,8,0,6,150,282.25
14,32,24,32,41,38,17,19,16,18,34,10,6,3,2,150,281.80
14,29,23,34,43,36,17,19,16,17,35,8,5,3,3,150,281.80
14,31,25,31,41,35,17,20,16,16,32,8,5,2,4,150,281.80
14,34,24,30,45,45,16,15,20,21,31,11,7,5,1,150,281.79
14,34,25,32,40,35,15,20,15,15,35,6,5,0,0,150,280.44

